,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Adams,47.67166088495574,-122.38550460176994,Cafe Besalu,47.67197127046342,-122.38775528572725,Bakery
1,Adams,47.67166088495574,-122.38550460176994,Tall Grass Bakery,47.671982269727195,-122.38769017869045,Bakery
2,Adams,47.67166088495574,-122.38550460176994,Kimchi House,47.67137242571149,-122.38776305505162,Korean Restaurant
3,Adams,47.67166088495574,-122.38550460176994,Gather Kitchen + Bar,47.669722972367396,-122.38491065982053,New American Restaurant
4,Adams,47.67166088495574,-122.38550460176994,Cupcake Royale and Verite Coffee,47.66882852714093,-122.38437785628311,Cupcake Shop
5,Adams,47.67166088495574,-122.38550460176994,Annie's Art and Frame Shop,47.66873057045572,-122.38546801379113,Design Studio
6,Adams,47.67166088495574,-122.38550460176994,Ballard Coffee Works,47.66885345349778,-122.38471629745673,Coffee Shop
7,Adams,47.67166088495574,-122.38550460176994,Scooter's Burgers,47.67109735420752,-122.38739128746657,Burger Joint
8,Adams,47.67166088495574,-122.38550460176994,Sonic Boom Records,47.66860225410091,-122.3851395277658,Record Shop
9,Adams,47.67166088495574,-122.38550460176994,Pie Bar,47.66872527413659,-122.3856557064263,Dessert Shop
10,Adams,47.67166088495574,-122.38550460176994,Ballard Health Club,47.66884132060383,-122.38502456109715,Gym
11,Adams,47.67166088495574,-122.38550460176994,Salt & Straw,47.66820996603503,-122.38553358465342,Ice Cream Shop
12,Adams,47.67166088495574,-122.38550460176994,Pestle Rock,47.66853238288658,-122.38661516925326,Thai Restaurant
13,Adams,47.67166088495574,-122.38550460176994,Pink Bee,47.669632,-122.382668,Thai Restaurant
14,Adams,47.67166088495574,-122.38550460176994,Mr. Gyros,47.669304093851295,-122.38201770061767,Mediterranean Restaurant
15,Adams,47.67166088495574,-122.38550460176994,DIGS,47.66885871632632,-122.38237945623767,Furniture / Home Store
16,Adams,47.67166088495574,-122.38550460176994,Hazlewood,47.66862404871905,-122.38680498249286,Bar
17,Adams,47.67166088495574,-122.38550460176994,Ocho,47.66858851536586,-122.38744605331455,Tapas Restaurant
18,Adams,47.67166088495574,-122.38550460176994,La Carta De Oaxaca,47.6681689403781,-122.38576711568744,Mexican Restaurant
19,Adams,47.67166088495574,-122.38550460176994,8oz Burger & Co.,47.66860137419473,-122.38819226582079,Burger Joint
20,Adams,47.67166088495574,-122.38550460176994,Hot Cakes Molten Chocolate Cakery,47.668074232524674,-122.38560120995655,Dessert Shop
21,Adams,47.67166088495574,-122.38550460176994,Ballard Beer Company,47.66885681310915,-122.38448094281348,Beer Garden
22,Adams,47.67166088495574,-122.38550460176994,Dandelion Botanical Company,47.668365161713,-122.38566775787089,Hobby Shop
23,Adams,47.67166088495574,-122.38550460176994,Majestic Bay Theatres,47.66882729603315,-122.38402742260145,Movie Theater
24,Adams,47.67166088495574,-122.38550460176994,La Isla,47.668810967440976,-122.38713600824516,Latin American Restaurant
25,Adams,47.67166088495574,-122.38550460176994,Parfait,47.66946970952449,-122.38384757926752,Ice Cream Shop
26,Adams,47.67166088495574,-122.38550460176994,Hotel Albatross,47.668581872745875,-122.38715276519629,Cocktail Bar
27,Adams,47.67166088495574,-122.38550460176994,Hood Famous Bakeshop,47.668451481146164,-122.38737906068135,Bakery
28,Adams,47.67166088495574,-122.38550460176994,Li'l Woody's,47.66877140612772,-122.3838523897206,Burger Joint
29,Adams,47.67166088495574,-122.38550460176994,Shakti Vinyasa Yoga,47.66870210615318,-122.38631591317935,Yoga Studio
30,Adams,47.67166088495574,-122.38550460176994,Ballard Farmer's Market,47.66746622660104,-122.3843155334636,Farmers Market
31,Adams,47.67166088495574,-122.38550460176994,Olaf's,47.67471181910651,-122.38781490780408,Bar
32,Adams,47.67166088495574,-122.38550460176994,Full Tilt Ice Cream,47.667936160174065,-122.38385774835058,Ice Cream Shop
33,Adams,47.67166088495574,-122.38550460176994,Billy Beach Sushi and Bar,47.668195572017616,-122.38420008543015,Sushi Restaurant
34,Adams,47.67166088495574,-122.38550460176994,Sip and Ship,47.66872398217398,-122.38131628905103,Post Office
35,Adams,47.67166088495574,-122.38550460176994,The Matador,47.66861736792765,-122.38585704143311,Mexican Restaurant
36,Adams,47.67166088495574,-122.38550460176994,Arashi Ramen,47.66823466978186,-122.38228121757206,Noodle House
37,Adams,47.67166088495574,-122.38550460176994,Caffe Umbria,47.66767820784637,-122.38501768533699,Coffee Shop
38,Adams,47.67166088495574,-122.38550460176994,Katsu Burger & Sushi,47.669525543434766,-122.38375995547115,Burger Joint
39,Adams,47.67166088495574,-122.38550460176994,Secret Garden Books,47.668727666972025,-122.38558896592119,Bookstore
40,Adams,47.67166088495574,-122.38550460176994,Miro Tea,47.66766247145386,-122.38488912634942,Tea Room
41,Adams,47.67166088495574,-122.38550460176994,Copine,47.67574136749478,-122.38740432867978,French Restaurant
42,Adams,47.67166088495574,-122.38550460176994,Skål Beer Hall,47.66804670045908,-122.38581667933067,Beer Bar
43,Adams,47.67166088495574,-122.38550460176994,Patagonia,47.668309,-122.38627,Clothing Store
44,Adams,47.67166088495574,-122.38550460176994,Sunset Tavern,47.66810471557388,-122.385962345203,Rock Club
45,Adams,47.67166088495574,-122.38550460176994,Vain,47.66757498295675,-122.38475619233688,Salon / Barbershop
46,Adams,47.67166088495574,-122.38550460176994,Porkchop & Co.,47.667899101037584,-122.38377746399945,Sandwich Place
47,Adams,47.67166088495574,-122.38550460176994,The Palm Room,47.66737482580893,-122.38411449008142,Garden Center
48,Adams,47.67166088495574,-122.38550460176994,All The Best Pet Care,47.66855400896488,-122.3816133107304,Pet Store
49,Adams,47.67166088495574,-122.38550460176994,Ballard Smoke Shop,47.66842254192698,-122.3859374368161,Dive Bar
50,Adams,47.67166088495574,-122.38550460176994,San Fermo,47.66728678524871,-122.38451987054404,Italian Restaurant
51,Adams,47.67166088495574,-122.38550460176994,D’Ambrosio Gelato,47.66724570384463,-122.38427993011997,Ice Cream Shop
52,Adams,47.67166088495574,-122.38550460176994,India Bistro,47.66859730889656,-122.38641400658142,Indian Restaurant
53,Adams,47.67166088495574,-122.38550460176994,Ballard Boys & Girls Club,47.67511980575124,-122.38179335868318,Baseball Field
54,Adams,47.67166088495574,-122.38550460176994,Verve Bowls,47.66946890794086,-122.38205652127742,Smoothie Shop
55,Adams,47.67166088495574,-122.38550460176994,The Boar's Nest,47.66957014309631,-122.3826507121945,BBQ Joint
56,Adams,47.67166088495574,-122.38550460176994,Sen Noodle Bar,47.66860649020962,-122.38666003410034,Thai Restaurant
57,Adams,47.67166088495574,-122.38550460176994,Ballard Station Public House,47.668709752746075,-122.38628899374385,Pub
58,Adams,47.67166088495574,-122.38550460176994,Ballard Playfield,47.67299012328336,-122.39104261234692,Park
59,Adams,47.67166088495574,-122.38550460176994,Bartell Drugs,47.66997121326123,-122.38507908858756,Drugstore
